n,T(n)
2,0.000156999914906919
100002,0.032248000032268465
200002,0.06191499996930361
300002,0.09355800005141646
400002,0.11898099991958588
500002,0.14448300004005432
600002,0.1810860000550747
700002,0.20387099997606128
800002,0.23760999995283782
900002,0.2639969999436289
1000002,0.29212900006677955
1100002,0.3235590000404045
1200002,0.34954799991101027
1300002,0.3751880000345409
1400002,0.4084070000099018
1500002,0.43320099997799844
1600002,0.4748799999943003
1700002,0.5044440000783652
1800002,0.5271590000484139
1900002,0.5569409999297932
,
