n,T(n)
2,0.0001669999910518527
252,0.0036489999620243907
502,0.007179999956861138
752,0.010741999954916537
1002,0.015660999924875796
1252,0.018857000046409667
1502,0.02253499999642372
1752,0.026135000050999224
2002,0.03131599992047995
2252,0.03364999999757856
2502,0.03651400003582239
2752,0.04315200005657971
3002,0.044055000063963234
3252,0.04836900008376688
3502,0.05368299991823733
3752,0.057241000002250075
4002,0.05811500002164394
4252,0.06229999999050051
4502,0.06674199993722141
4752,0.07050899998284876
5002,0.07473400002345443
5252,0.07799399993382394
5502,0.08018699998501688
5752,0.0845780000090599
6002,0.088871999992989
6252,0.09356900001876056
6502,0.09703699999954551
6752,0.10079099994618446
7002,0.10498299996834248
7252,0.10796199995093048
7502,0.11071199993602931
7752,0.11517399991862476
8002,0.11827700003050268
8252,0.12372799997683614
8502,0.12523799994960427
8752,0.1298640000168234
9002,0.12953600008040667
9252,0.13467600010335445
9502,0.14166099997237325
9752,0.1403040000004694
,
