n,T(n)
0,0.00015900004655122757
10,3.200001083314419e-05
20,2.5999965146183968e-05
30,4.800013266503811e-05
40,2.9999995604157448e-05
50,2.6999972760677338e-05
60,3.200001083314419e-05
70,2.5999965146183968e-05
80,2.400018274784088e-05
90,2.3999949917197227e-05
100,2.3999949917197227e-05
110,2.600019797682762e-05
120,2.7999980375170708e-05
130,2.3999949917197227e-05
140,2.9999995604157448e-05
150,2.6999972760677338e-05
160,2.7999980375170708e-05
170,2.4999957531690598e-05
180,2.3999949917197227e-05
190,2.6999972760677338e-05
200,2.3999949917197227e-05
210,2.2999942302703857e-05
220,2.300017513334751e-05
230,2.3999949917197227e-05
240,2.2999942302703857e-05
250,2.4999957531690598e-05
260,2.3999949917197227e-05
270,2.3999949917197227e-05
280,2.2999942302703857e-05
290,2.300017513334751e-05
300,2.2999942302703857e-05
310,2.2999942302703857e-05
320,2.3999949917197227e-05
330,2.3999949917197227e-05
340,2.2999942302703857e-05
350,2.700020559132099e-05
360,2.2999942302703857e-05
370,2.4999957531690598e-05
380,2.2999942302703857e-05
390,2.300017513334751e-05
400,2.2999942302703857e-05
410,2.2999942302703857e-05
420,2.6999972760677338e-05
430,2.8999987989664078e-05
440,2.3999949917197227e-05
450,2.2999942302703857e-05
460,2.2999942302703857e-05
470,2.2999942302703857e-05
480,2.2999942302703857e-05
490,2.2999942302703857e-05
500,2.400018274784088e-05
510,2.500019036233425e-05
520,2.3999949917197227e-05
530,2.4999957531690598e-05
540,2.3999949917197227e-05
550,2.5999965146183968e-05
560,2.2999942302703857e-05
570,2.3999949917197227e-05
580,2.2999942302703857e-05
590,2.2999942302703857e-05
600,2.2999942302703857e-05
610,2.200016751885414e-05
620,2.2999942302703857e-05
630,2.2999942302703857e-05
640,2.2999942302703857e-05
650,2.2999942302703857e-05
660,2.200016751885414e-05
670,2.1999934688210487e-05
680,2.2999942302703857e-05
690,2.1999934688210487e-05
700,2.3999949917197227e-05
710,2.1999934688210487e-05
720,2.300017513334751e-05
730,2.1999934688210487e-05
740,2.2999942302703857e-05
750,2.2999942302703857e-05
760,2.3999949917197227e-05
770,2.300017513334751e-05
780,2.2999942302703857e-05
790,2.2999942302703857e-05
800,2.2999942302703857e-05
810,2.2999942302703857e-05
820,2.2999942302703857e-05
830,2.2999942302703857e-05
