n,T(n)
1,1.0999967344105244e-05
2,4.00003045797348e-06
3,2.00001522898674e-06
4,3.00002284348011e-06
5,3.00002284348011e-06
6,3.00002284348011e-06
7,3.00002284348011e-06
8,3.999914042651653e-06
9,4.999921657145023e-06
10,4.00003045797348e-06
11,4.00003045797348e-06
12,4.00003045797348e-06
13,4.00003045797348e-06
14,5.00003807246685e-06
15,5.00003807246685e-06
16,5.00003807246685e-06
17,5.00003807246685e-06
18,7.00005330145359e-06
19,6.00004568696022e-06
20,7.00005330145359e-06
21,3.800005652010441e-05
22,1.0999967344105244e-05
23,8.00006091594696e-06
24,9.00006853044033e-06
25,7.999944500625134e-06
26,7.999944500625134e-06
27,8.999952115118504e-06
28,8.999952115118504e-06
29,9.00006853044033e-06
30,8.999952115118504e-06
31,8.999952115118504e-06
32,8.999952115118504e-06
33,1.4999997802078724e-05
34,1.0999967344105244e-05
35,1.0999967344105244e-05
36,9.999959729611874e-06
37,1.100008375942707e-05
38,1.0999967344105244e-05
39,1.0999967344105244e-05
40,1.1999974958598614e-05
41,1.0999967344105244e-05
42,1.200009137392044e-05
43,1.1999974958598614e-05
44,1.200009137392044e-05
45,1.2999982573091984e-05
46,1.300009898841381e-05
47,1.2999982573091984e-05
48,1.300009898841381e-05
49,1.3999990187585354e-05
50,1.400010660290718e-05
51,1.4999997802078724e-05
52,1.3999990187585354e-05
53,1.3999990187585354e-05
54,1.4999997802078724e-05
55,1.6000005416572094e-05
56,1.4999997802078724e-05
57,1.4999997802078724e-05
58,1.6000005416572094e-05
59,1.7000013031065464e-05
60,1.6000005416572094e-05
61,1.6000005416572094e-05
62,1.7000013031065464e-05
63,5.5999960750341415e-05
64,1.7999904230237007e-05
65,1.9000028260052204e-05
66,1.8000020645558834e-05
67,1.8000020645558834e-05
68,1.9000028260052204e-05
69,1.9000028260052204e-05
70,1.8999911844730377e-05
71,1.8999911844730377e-05
72,1.9000028260052204e-05
73,1.9000028260052204e-05
74,2.0000035874545574e-05
75,2.0000035874545574e-05
76,2.2000051103532314e-05
77,2.1000043489038944e-05
78,2.1000043489038944e-05
79,2.2000051103532314e-05
80,2.2000051103532314e-05
81,2.2000051103532314e-05
82,2.3000058718025684e-05
83,2.3000058718025684e-05
84,2.2000051103532314e-05
85,2.2000051103532314e-05
86,2.3999949917197227e-05
87,2.3999949917197227e-05
88,2.3999949917197227e-05
89,2.5000073947012424e-05
90,2.4000066332519054e-05
91,2.4999957531690598e-05
92,2.4999957531690598e-05
93,2.5000073947012424e-05
94,2.6000081561505795e-05
95,3.799994010478258e-05
96,2.7999980375170708e-05
97,3.600004129111767e-05
98,3.100000321865082e-05
99,2.5999965146183968e-05
100,2.7000089175999165e-05
101,0.0001990000018849969
102,2.7000089175999165e-05
103,2.7999980375170708e-05
104,2.7999980375170708e-05
105,2.7999980375170708e-05
106,2.7999980375170708e-05
107,2.7999980375170708e-05
108,2.8999987989664078e-05
109,2.8999987989664078e-05
110,2.8999987989664078e-05
111,2.9999995604157448e-05
112,2.9999995604157448e-05
113,2.9999995604157448e-05
114,2.9000104404985905e-05
115,2.8999987989664078e-05
116,3.100000321865082e-05
117,2.9999995604157448e-05
118,3.100000321865082e-05
119,3.100000321865082e-05
120,3.200001083314419e-05
121,3.200001083314419e-05
122,4.199997056275606e-05
123,3.299990203231573e-05
124,3.300001844763756e-05
125,4.099996294826269e-05
126,4.000007174909115e-05
127,3.800005652010441e-05
128,3.799994010478258e-05
129,4.000007174909115e-05
130,3.999995533376932e-05
131,4.099996294826269e-05
132,4.200008697807789e-05
133,6.0999998822808266e-05
134,4.300009459257126e-05
135,4.900002386420965e-05
136,4.299997817724943e-05
137,4.199997056275606e-05
138,4.100007936358452e-05
139,4.299997817724943e-05
140,6.3000014051795e-05
141,4.199997056275606e-05
142,4.600000102072954e-05
143,5.300005432218313e-05
144,4.700000863522291e-05
145,4.200008697807789e-05
146,4.900002386420965e-05
147,3.900006413459778e-05
148,6.400002166628838e-05
149,4.800001624971628e-05
150,4.600000102072954e-05
151,4.600000102072954e-05
152,4.700000863522291e-05
153,4.800001624971628e-05
154,5.100003909319639e-05
155,4.900002386420965e-05
156,4.700000863522291e-05
157,4.7999899834394455e-05
158,5.5999960750341415e-05
159,5.000003147870302e-05
160,5.300005432218313e-05
161,5.000003147870302e-05
162,5.200004670768976e-05
163,5.300005432218313e-05
164,5.100003909319639e-05
165,5.100003909319639e-05
166,0.00015400000847876072
167,5.2999937906861305e-05
168,5.2999937906861305e-05
169,5.1999930292367935e-05
170,5.3999945521354675e-05
171,5.300005432218313e-05
172,5.200004670768976e-05
173,5.800009239464998e-05
174,5.300005432218313e-05
175,5.3999945521354675e-05
176,9.999994654208422e-05
177,5.3999945521354675e-05
178,5.4999953135848045e-05
179,5.600007716566324e-05
180,5.600007716566324e-05
181,5.4999953135848045e-05
182,5.5999960750341415e-05
183,5.2999937906861305e-05
184,5.5999960750341415e-05
185,5.40000619366765e-05
186,5.7999975979328156e-05
187,7.099995855242014e-05
188,5.8999983593821526e-05
189,5.7999975979328156e-05
190,6.200000643730164e-05
191,5.800009239464998e-05
192,5.5999960750341415e-05
193,5.9999991208314896e-05
194,5.9999991208314896e-05
195,6.0999998822808266e-05
196,5.9999991208314896e-05
197,6.500002928078175e-05
198,6.500002928078175e-05
199,5.9999991208314896e-05
200,5.9999991208314896e-05
201,6.0999998822808266e-05
202,5.700008478015661e-05
203,5.4999953135848045e-05
204,6.599992047995329e-05
205,6.3000014051795e-05
206,6.3000014051795e-05
207,6.3000014051795e-05
208,6.3000014051795e-05
209,6.400002166628838e-05
210,6.3000014051795e-05
211,6.599992047995329e-05
212,6.3000014051795e-05
213,7.100007496774197e-05
214,6.3000014051795e-05
215,0.00016799999866634607
216,6.400002166628838e-05
217,6.400002166628838e-05
218,6.700004450976849e-05
219,6.500002928078175e-05
220,7.399998139590025e-05
221,6.3000014051795e-05
222,6.200000643730164e-05
223,0.00014100002590566874
224,6.700004450976849e-05
225,6.700004450976849e-05
226,6.700004450976849e-05
227,6.699992809444666e-05
228,6.700004450976849e-05
229,7.400009781122208e-05
230,6.700004450976849e-05
231,6.800005212426186e-05
232,6.800005212426186e-05
233,7.199996616691351e-05
234,9.799993131309748e-05
235,6.799993570894003e-05
236,7.599999662488699e-05
237,7.299997378140688e-05
238,7.500010542571545e-05
239,7.90000194683671e-05
240,7.499998901039362e-05
241,6.999995093792677e-05
242,8.100003469735384e-05
243,7.100007496774197e-05
244,8.300004992634058e-05
245,7.199996616691351e-05
246,8.099991828203201e-05
247,7.499998901039362e-05
248,7.700000423938036e-05
249,8.199992589652538e-05
250,7.199996616691351e-05
251,7.30000901967287e-05
252,8.400005754083395e-05
253,7.399998139590025e-05
254,7.200008258223534e-05
255,8.200004231184721e-05
256,0.00016900000628083944
257,7.800001185387373e-05
258,7.79998954385519e-05
259,8.299993351101875e-05
260,7.90000194683671e-05
261,8.000002708286047e-05
262,8.000002708286047e-05
263,0.00013100006617605686
264,7.90000194683671e-05
265,8.499994874000549e-05
266,8.400005754083395e-05
267,8.000002708286047e-05
268,7.800001185387373e-05
269,7.999991066753864e-05
