n,T(n)
1,0.0001860000193119049
10001,0.31801599985919893
20001,0.6206439998932183
30001,0.935736000072211
40001,1.2448640000075102
50001,1.5732070000376552
60001,1.8359480001963675
70001,2.1551840000320226
80001,2.4830320000182837
90001,2.844482999993488
100001,3.1321169999428093
110001,3.4135380000807345
120001,4.054769000038505
130001,4.18666599993594
140001,4.468529999954626
150001,4.781942999921739
160001,5.053864999907091
170001,5.329535000026226
180001,5.683748999843374
190001,5.9314039999153465
,
