n,T(n)
2,1.1999974958598614e-05
2502,0.0002680000616237521
5002,0.0005729999393224716
7502,0.0007999999215826392
10002,0.0010640000691637397
12502,0.0012649999698624015
15002,0.001484000007621944
17502,0.0017350000562146306
20002,0.0019680000841617584
22502,0.0022200000239536166
25002,0.0024579999735578895
27502,0.002825999981723726
30002,0.002972999936901033
32502,0.0033050000201910734
35002,0.0034790000645443797
37502,0.00374399998690933
40002,0.004030999960377812
42502,0.004228000063449144
45002,0.004456000053323805
47502,0.0047259998973459005
50002,0.005044999998062849
52502,0.005547000095248222
55002,0.005601000040769577
57502,0.005670999991707504
60002,0.006005999981425703
62502,0.006139999954029918
65002,0.006425000028684735
67502,0.007019000011496246
70002,0.008136000018566847
72502,0.007729999953880906
75002,0.008013000013306737
77502,0.008062000037170947
80002,0.007975999964401126
82502,0.008377999998629093
85002,0.008510999963618815
87502,0.008840000024065375
90002,0.009831000003032386
92502,0.01002599997445941
95002,0.010262000025250018
97502,0.010293000028468668
,
