n,T(n)
1,1.2999982573091984e-05
101,4.999921657145023e-06
201,3.999914042651653e-06
301,4.00003045797348e-06
401,5.00003807246685e-06
501,6.00004568696022e-06
601,4.00003045797348e-06
701,4.00003045797348e-06
801,5.00003807246685e-06
901,4.00003045797348e-06
1001,4.999921657145023e-06
1101,4.00003045797348e-06
1201,4.00003045797348e-06
1301,6.00004568696022e-06
1401,4.00003045797348e-06
1501,6.00004568696022e-06
1601,6.00004568696022e-06
1701,4.00003045797348e-06
1801,4.00003045797348e-06
1901,6.00004568696022e-06
2001,4.00003045797348e-06
2101,6.00004568696022e-06
2201,6.00004568696022e-06
2301,3.00002284348011e-06
2401,5.999929271638393e-06
2501,5.999929271638393e-06
2601,5.999929271638393e-06
2701,4.00003045797348e-06
2801,6.00004568696022e-06
2901,6.00004568696022e-06
3001,3.00002284348011e-06
3101,4.00003045797348e-06
3201,3.999914042651653e-06
3301,4.00003045797348e-06
3401,4.999921657145023e-06
3501,4.00003045797348e-06
3601,3.999914042651653e-06
3701,4.999921657145023e-06
3801,3.999914042651653e-06
3901,8.00006091594696e-06
4001,8.00006091594696e-06
4101,4.00003045797348e-06
4201,4.999921657145023e-06
4301,5.00003807246685e-06
4401,4.00003045797348e-06
4501,7.00005330145359e-06
4601,4.00003045797348e-06
4701,6.00004568696022e-06
4801,4.00003045797348e-06
4901,3.999914042651653e-06
5001,5.00003807246685e-06
5101,6.00004568696022e-06
5201,4.999921657145023e-06
5301,4.999921657145023e-06
5401,7.00005330145359e-06
5501,6.00004568696022e-06
5601,4.00003045797348e-06
5701,4.00003045797348e-06
5801,3.00002284348011e-06
5901,6.00004568696022e-06
6001,6.00004568696022e-06
6101,5.999929271638393e-06
6201,6.00004568696022e-06
6301,5.999929271638393e-06
6401,6.00004568696022e-06
6501,4.00003045797348e-06
6601,3.999914042651653e-06
6701,3.999914042651653e-06
6801,6.00004568696022e-06
6901,5.00003807246685e-06
7001,4.00003045797348e-06
7101,6.9999368861317635e-06
7201,5.00003807246685e-06
7301,6.00004568696022e-06
7401,5.00003807246685e-06
7501,6.00004568696022e-06
7601,5.00003807246685e-06
7701,4.999921657145023e-06
7801,6.00004568696022e-06
7901,2.9999064281582832e-06
8001,3.00002284348011e-06
8101,3.00002284348011e-06
8201,5.00003807246685e-06
8301,4.00003045797348e-06
8401,3.999914042651653e-06
8501,4.00003045797348e-06
8601,6.9999368861317635e-06
8701,5.00003807246685e-06
8801,7.00005330145359e-06
8901,6.00004568696022e-06
9001,6.00004568696022e-06
9101,6.00004568696022e-06
9201,6.00004568696022e-06
9301,6.00004568696022e-06
9401,6.00004568696022e-06
9501,4.999921657145023e-06
9601,3.999914042651653e-06
9701,5.00003807246685e-06
9801,5.00003807246685e-06
9901,5.999929271638393e-06
10001,4.00003045797348e-06
10101,4.00003045797348e-06
10201,5.999929271638393e-06
10301,4.00003045797348e-06
10401,4.00003045797348e-06
10501,5.00003807246685e-06
10601,4.00003045797348e-06
10701,6.00004568696022e-06
10801,5.999929271638393e-06
10901,6.00004568696022e-06
11001,4.00003045797348e-06
11101,5.00003807246685e-06
11201,5.999929271638393e-06
11301,3.999914042651653e-06
11401,3.999914042651653e-06
11501,6.00004568696022e-06
11601,4.00003045797348e-06
11701,6.00004568696022e-06
11801,4.00003045797348e-06
11901,7.00005330145359e-06
12001,4.999921657145023e-06
12101,4.00003045797348e-06
12201,4.00003045797348e-06
12301,2.9999064281582832e-06
12401,6.00004568696022e-06
12501,5.999929271638393e-06
12601,5.00003807246685e-06
12701,4.00003045797348e-06
12801,5.00003807246685e-06
12901,4.999921657145023e-06
13001,6.00004568696022e-06
13101,6.9999368861317635e-06
13201,6.00004568696022e-06
13301,7.00005330145359e-06
13401,6.00004568696022e-06
13501,5.999929271638393e-06
13601,5.999929271638393e-06
13701,5.00003807246685e-06
13801,6.9999368861317635e-06
13901,5.00003807246685e-06
14001,6.00004568696022e-06
14101,6.00004568696022e-06
14201,5.999929271638393e-06
14301,6.00004568696022e-06
14401,5.00003807246685e-06
14501,4.00003045797348e-06
14601,6.00004568696022e-06
14701,5.999929271638393e-06
14801,3.999914042651653e-06
14901,6.00004568696022e-06
15001,4.999921657145023e-06
15101,5.999929271638393e-06
15201,4.00003045797348e-06
15301,5.00003807246685e-06
15401,6.00004568696022e-06
15501,3.999914042651653e-06
15601,5.00003807246685e-06
15701,3.999914042651653e-06
15801,4.999921657145023e-06
15901,5.00003807246685e-06
16001,3.999914042651653e-06
16101,5.00003807246685e-06
16201,3.00002284348011e-06
16301,4.00003045797348e-06
16401,6.00004568696022e-06
16501,6.00004568696022e-06
16601,4.00003045797348e-06
16701,3.00002284348011e-06
16801,5.999929271638393e-06
16901,6.00004568696022e-06
17001,5.00003807246685e-06
17101,4.00003045797348e-06
17201,6.9999368861317635e-06
17301,4.00003045797348e-06
17401,5.00003807246685e-06
17501,7.999944500625134e-06
17601,5.00003807246685e-06
17701,5.00003807246685e-06
17801,7.00005330145359e-06
17901,4.00003045797348e-06
18001,4.00003045797348e-06
18101,6.00004568696022e-06
18201,6.9999368861317635e-06
18301,5.999929271638393e-06
18401,8.00006091594696e-06
18501,4.999921657145023e-06
18601,4.999921657145023e-06
18701,4.999921657145023e-06
18801,3.999914042651653e-06
18901,4.999921657145023e-06
19001,4.00003045797348e-06
19101,4.00003045797348e-06
19201,4.00003045797348e-06
19301,4.00003045797348e-06
19401,4.00003045797348e-06
19501,4.00003045797348e-06
19601,4.00003045797348e-06
19701,3.999914042651653e-06
19801,4.00003045797348e-06
19901,3.00002284348011e-06
20001,4.00003045797348e-06
20101,4.00003045797348e-06
20201,3.999914042651653e-06
20301,4.00003045797348e-06
20401,4.00003045797348e-06
20501,4.00003045797348e-06
20601,4.00003045797348e-06
20701,3.999914042651653e-06
20801,5.00003807246685e-06
20901,5.00003807246685e-06
21001,4.00003045797348e-06
21101,5.00003807246685e-06
21201,3.999914042651653e-06
21301,3.999914042651653e-06
21401,3.00002284348011e-06
21501,4.00003045797348e-06
21601,3.999914042651653e-06
21701,3.999914042651653e-06
21801,3.00002284348011e-06
21901,3.00002284348011e-06
22001,3.999914042651653e-06
22101,4.999921657145023e-06
22201,6.9999368861317635e-06
22301,3.999914042651653e-06
22401,3.999914042651653e-06
22501,5.999929271638393e-06
22601,5.999929271638393e-06
22701,4.999921657145023e-06
22801,5.00003807246685e-06
22901,4.00003045797348e-06
23001,4.00003045797348e-06
23101,3.999914042651653e-06
23201,5.00003807246685e-06
23301,4.00003045797348e-06
23401,4.999921657145023e-06
23501,4.00003045797348e-06
23601,4.00003045797348e-06
23701,3.999914042651653e-06
23801,4.00003045797348e-06
23901,4.00003045797348e-06
24001,4.00003045797348e-06
24101,4.00003045797348e-06
24201,4.00003045797348e-06
24301,5.999929271638393e-06
24401,4.00003045797348e-06
24501,4.00003045797348e-06
24601,6.00004568696022e-06
24701,4.999921657145023e-06
24801,3.00002284348011e-06
24901,4.00003045797348e-06
25001,5.00003807246685e-06
25101,3.999914042651653e-06
25201,3.00002284348011e-06
25301,3.00002284348011e-06
25401,4.00003045797348e-06
25501,3.999914042651653e-06
25601,4.00003045797348e-06
25701,4.00003045797348e-06
25801,4.00003045797348e-06
25901,3.999914042651653e-06
26001,6.00004568696022e-06
26101,5.00003807246685e-06
26201,4.00003045797348e-06
26301,3.999914042651653e-06
26401,4.00003045797348e-06
26501,4.00003045797348e-06
26601,7.00005330145359e-06
26701,4.00003045797348e-06
26801,3.00002284348011e-06
26901,4.999921657145023e-06
27001,5.00003807246685e-06
27101,6.00004568696022e-06
27201,4.00003045797348e-06
27301,4.00003045797348e-06
27401,3.999914042651653e-06
27501,3.00002284348011e-06
27601,4.00003045797348e-06
27701,3.00002284348011e-06
27801,3.999914042651653e-06
27901,6.9999368861317635e-06
28001,4.00003045797348e-06
28101,3.999914042651653e-06
28201,4.999921657145023e-06
28301,4.00003045797348e-06
28401,6.00004568696022e-06
28501,4.00003045797348e-06
28601,7.00005330145359e-06
28701,3.999914042651653e-06
28801,6.9999368861317635e-06
28901,4.00003045797348e-06
29001,3.999914042651653e-06
29101,5.999929271638393e-06
29201,3.00002284348011e-06
29301,3.999914042651653e-06
29401,4.00003045797348e-06
29501,4.00003045797348e-06
29601,5.00003807246685e-06
29701,5.999929271638393e-06
29801,3.00002284348011e-06
29901,5.999929271638393e-06
30001,4.999921657145023e-06
30101,3.999914042651653e-06
30201,3.00002284348011e-06
30301,5.00003807246685e-06
30401,4.00003045797348e-06
30501,4.00003045797348e-06
30601,4.00003045797348e-06
30701,4.00003045797348e-06
30801,4.00003045797348e-06
30901,2.9999064281582832e-06
31001,4.00003045797348e-06
31101,4.00003045797348e-06
31201,4.00003045797348e-06
31301,3.999914042651653e-06
31401,4.00003045797348e-06
31501,4.00003045797348e-06
31601,4.00003045797348e-06
31701,4.999921657145023e-06
31801,4.999921657145023e-06
31901,4.00003045797348e-06
32001,4.00003045797348e-06
32101,3.00002284348011e-06
32201,6.00004568696022e-06
32301,5.00003807246685e-06
32401,4.00003045797348e-06
32501,3.999914042651653e-06
32601,5.999929271638393e-06
32701,4.00003045797348e-06
