n,T(n)
1,0.00013899989426136017
2,7.500010542571545e-05
3,0.00011999998241662979
4,9.700004011392593e-05
5,0.0001129999291151762
6,0.0001360001042485237
7,0.00013500009663403034
8,0.00015300000086426735
9,0.00016000005416572094
10,0.00017199991270899773
11,0.00018800003454089165
12,0.00020400015637278557
13,0.0002180000301450491
14,0.00023099989630281925
15,0.0002500000409781933
16,0.0002739999908953905
17,0.0002749999985098839
18,0.0003029999788850546
19,0.00033199996687471867
20,0.00033199996687471867
21,0.0003750000614672899
22,0.00041999993845820427
23,0.0004229999613016844
24,0.00040500005707144737
25,0.0004710000939667225
26,0.00044000009074807167
27,0.0004640000406652689
28,0.0005969998892396688
29,0.0005020000971853733
30,0.0004610000178217888
31,0.0005250000394880772
32,0.0005099999252706766
33,0.0005640001036226749
34,0.0005789999850094318
35,0.0006280001252889633
36,0.0005639998707920313
37,0.0006120000034570694
38,0.000593000091612339
39,0.0006790000479668379
40,0.0006459997966885567
41,0.0007070000283420086
42,0.0006659999489784241
43,0.0007599999662488699
44,0.0006730000022798777
45,0.0007040000054985285
46,0.0007060000207275152
47,0.0007479998748749495
48,0.0007670000195503235
49,0.0009390001650899649
50,0.0009749999735504389
,
