n,T(n)
1,0.0001759999431669712
11,0.00028000003658235073
21,0.0005129999481141567
31,0.0008150000358000398
41,0.0009540000464767218
51,0.0013540000654757023
61,0.0016250000335276127
71,0.0019970000721514225
81,0.002639999962411821
91,0.003028000006452203
101,0.003418999956920743
111,0.004405000014230609
121,0.00463300000410527
131,0.005492999916896224
141,0.006585000082850456
151,0.008053999976255
161,0.008142000064253807
171,0.008545000106096268
181,0.009694000007584691
191,0.011445999960415065
201,0.012432999908924103
211,0.013838000013493001
221,0.013017999939620495
231,0.01461299997754395
241,0.015530000091530383
251,0.01603400008752942
261,0.01753899990580976
271,0.018322000047191978
281,0.01949199999216944
291,0.021394000039435923
301,0.02238400001078844
311,0.024052000022493303
321,0.02441100007854402
331,0.026006000000052154
341,0.02797699999064207
351,0.028376000002026558
361,0.030509000062011182
371,0.03210900002159178
381,0.03479499998502433
391,0.03572299994993955
401,0.03621400007978082
411,0.038223000010475516
421,0.040505999932065606
431,0.042108999914489686
441,0.04507900006137788
451,0.04576100001577288
461,0.04818799998611212
471,0.05076600005850196
481,0.05136899999342859
491,0.055629000067710876
501,0.05489899998065084
511,0.05678900005295873
521,0.05904199997894466
531,0.0612970000365749
541,0.06501600006595254
551,0.06545799993909895
561,0.0674660000950098
571,0.06991400010883808
581,0.07289300009142607
591,0.07789499999489635
601,0.0775680000660941
611,0.0799729999853298
621,0.08205800002906471
631,0.0848629999672994
641,0.08833599998615682
651,0.0895299999974668
661,0.09398899995721877
671,0.09579900000244379
681,0.09899700002279133
691,0.10162400000263005
701,0.10642800002824515
711,0.10565700009465218
721,0.10971699992660433
731,0.11320500005967915
741,0.11457299999892712
751,0.11803899996448308
761,0.12389200006145984
771,0.12459699995815754
781,0.12815700005739927
791,0.1320119999581948
801,0.13561700005084276
811,0.13562600000295788
821,0.1412610000697896
831,0.14428899995982647
841,0.14696899999398738
851,0.1497979999985546
861,0.15457599994260818
871,0.15761200000997633
881,0.15995300002396107
891,0.1644680000608787
901,0.1674580000108108
911,0.17166100000031292
921,0.17779800004791468
931,0.17900200001895428
941,0.1849919999949634
951,0.1882190000033006
961,0.18958100001327693
971,0.19538799999281764
981,0.19718799996189773
991,0.2028400000417605
,
