n,T(n)
1,1.2999982573091984e-05
100000001,4.00003045797348e-06
200000001,4.00003045797348e-06
300000001,3.999914042651653e-06
400000001,4.00003045797348e-06
500000001,6.00004568696022e-06
600000001,3.00002284348011e-06
700000001,4.999921657145023e-06
800000001,3.00002284348011e-06
900000001,4.00003045797348e-06
1000000001,3.00002284348011e-06
1100000001,3.999914042651653e-06
1200000001,4.00003045797348e-06
1300000001,3.00002284348011e-06
1400000001,1.9999919459223747e-05
1500000001,3.999914042651653e-06
1600000001,3.999914042651653e-06
1700000001,1.999898813664913e-06
1800000001,2.9999064281582832e-06
1900000001,3.00002284348011e-06
2000000001,3.999914042651653e-06
2100000001,3.00002284348011e-06
2200000001,2.00001522898674e-06
2300000001,2.00001522898674e-06
2400000001,1.999898813664913e-06
2500000001,3.00002284348011e-06
2600000001,2.00001522898674e-06
2700000001,4.00003045797348e-06
2800000001,2.00001522898674e-06
2900000001,3.999914042651653e-06
3000000001,3.00002284348011e-06
3100000001,2.00001522898674e-06
3200000001,4.00003045797348e-06
3300000001,2.9999064281582832e-06
3400000001,3.00002284348011e-06
3500000001,3.00002284348011e-06
3600000001,2.00001522898674e-06
3700000001,3.00002284348011e-06
3800000001,2.00001522898674e-06
3900000001,1.999898813664913e-06
4000000001,2.00001522898674e-06
4100000001,2.00001522898674e-06
4200000001,2.00001522898674e-06
4300000001,1.999898813664913e-06
4400000001,2.00001522898674e-06
4500000001,3.00002284348011e-06
4600000001,3.999914042651653e-06
4700000001,3.00002284348011e-06
4800000001,2.00001522898674e-06
4900000001,2.9999064281582832e-06
5000000001,3.00002284348011e-06
5100000001,3.00002284348011e-06
5200000001,1.999898813664913e-06
5300000001,2.00001522898674e-06
5400000001,2.00001522898674e-06
5500000001,1.999898813664913e-06
5600000001,2.00001522898674e-06
5700000001,2.00001522898674e-06
5800000001,3.00002284348011e-06
5900000001,2.9999064281582832e-06
6000000001,3.00002284348011e-06
6100000001,2.00001522898674e-06
6200000001,2.9999064281582832e-06
6300000001,3.00002284348011e-06
6400000001,2.00001522898674e-06
6500000001,3.00002284348011e-06
6600000001,3.00002284348011e-06
6700000001,2.00001522898674e-06
6800000001,2.00001522898674e-06
6900000001,4.00003045797348e-06
7000000001,3.00002284348011e-06
7100000001,4.00003045797348e-06
7200000001,3.00002284348011e-06
7300000001,3.00002284348011e-06
7400000001,4.00003045797348e-06
7500000001,3.00002284348011e-06
7600000001,3.00002284348011e-06
7700000001,2.00001522898674e-06
7800000001,3.00002284348011e-06
7900000001,2.00001522898674e-06
8000000001,2.00001522898674e-06
8100000001,3.00002284348011e-06
8200000001,2.00001522898674e-06
8300000001,2.00001522898674e-06
8400000001,3.00002284348011e-06
8500000001,2.00001522898674e-06
8600000001,2.9999064281582832e-06
8700000001,2.00001522898674e-06
8800000001,4.00003045797348e-06
8900000001,3.00002284348011e-06
9000000001,2.00001522898674e-06
9100000001,2.00001522898674e-06
9200000001,2.00001522898674e-06
9300000001,2.00001522898674e-06
9400000001,2.00001522898674e-06
9500000001,3.00002284348011e-06
9600000001,3.00002284348011e-06
9700000001,3.00002284348011e-06
9800000001,3.00002284348011e-06
9900000001,3.00002284348011e-06
10000000001,1.999898813664913e-06
10100000001,3.00002284348011e-06
