n,T(n)
2,1.00000761449337e-05
3,4.00003045797348e-06
4,3.00002284348011e-06
5,3.00002284348011e-06
6,3.00002284348011e-06
7,4.00003045797348e-06
8,9.00006853044033e-06
9,4.00003045797348e-06
10,4.00003045797348e-06
11,6.00004568696022e-06
12,5.00003807246685e-06
13,5.00003807246685e-06
14,6.00004568696022e-06
15,6.00004568696022e-06
16,5.00003807246685e-06
17,6.00004568696022e-06
18,6.00004568696022e-06
19,6.00004568696022e-06
20,1.100008375942707e-05
21,8.999835699796677e-06
22,7.00005330145359e-06
23,8.00006091594696e-06
24,8.999835699796677e-06
25,8.00006091594696e-06
26,9.00006853044033e-06
27,9.00006853044033e-06
28,9.00006853044033e-06
29,8.999835699796677e-06
30,1.00000761449337e-05
31,2.6999972760677338e-05
32,1.200009137392044e-05
33,1.100008375942707e-05
34,1.0999850928783417e-05
35,1.100008375942707e-05
36,1.100008375942707e-05
37,1.200009137392044e-05
38,1.0999850928783417e-05
39,1.200009137392044e-05
40,1.200009137392044e-05
41,1.200009137392044e-05
42,1.8999911844730377e-05
43,4.9999915063381195e-05
44,1.3999873772263527e-05
45,1.500011421740055e-05
46,1.400010660290718e-05
47,1.400010660290718e-05
48,1.3999873772263527e-05
49,1.4999881386756897e-05
50,1.500011421740055e-05
51,1.500011421740055e-05
52,1.600012183189392e-05
53,1.5999889001250267e-05
54,1.5999889001250267e-05
55,1.6999896615743637e-05
56,1.600012183189392e-05
57,1.600012183189392e-05
58,1.700012944638729e-05
59,1.6999896615743637e-05
60,1.9999919459223747e-05
61,3.200001083314419e-05
62,3.100000321865082e-05
63,3.300001844763756e-05
64,4.0999846532940865e-05
65,3.50000336766243e-05
66,0.00011399993672966957
67,1.9999919459223747e-05
68,1.9999919459223747e-05
69,2.100015990436077e-05
70,2.100015990436077e-05
71,2.00001522898674e-05
72,2.100015990436077e-05
73,2.0999927073717117e-05
74,2.100015990436077e-05
75,2.2999942302703857e-05
76,2.2999942302703857e-05
77,2.1999934688210487e-05
78,2.2999942302703857e-05
79,3.900006413459778e-05
80,3.200001083314419e-05
81,3.700004890561104e-05
82,4.100007936358452e-05
83,4.1999854147434235e-05
84,4.1999854147434235e-05
85,4.0999846532940865e-05
86,2.8999987989664078e-05
87,0.00026400014758110046
88,2.4999957531690598e-05
89,2.4999957531690598e-05
90,2.6999972760677338e-05
91,2.6999972760677338e-05
92,2.5999965146183968e-05
93,5.4999953135848045e-05
94,2.6999972760677338e-05
95,2.700020559132099e-05
96,4.600011743605137e-05
97,2.7999980375170708e-05
98,2.6999972760677338e-05
99,2.7999980375170708e-05
100,2.8999987989664078e-05
101,2.7999980375170708e-05
102,3.800005652010441e-05
103,0.00010400009341537952
104,3.300001844763756e-05
105,3.900006413459778e-05
106,3.5999808460474014e-05
107,3.50000336766243e-05
108,2.9999995604157448e-05
109,3.200001083314419e-05
110,2.9999995604157448e-05
111,2.9999995604157448e-05
112,0.00016300007700920105
113,5.9999991208314896e-05
114,0.00012600002810359
115,8.100015111267567e-05
116,0.00010400009341537952
117,4.900014027953148e-05
118,4.700012505054474e-05
119,4.8999907448887825e-05
120,5.3999945521354675e-05
121,4.8999907448887825e-05
122,4.6999892219901085e-05
123,5.6999968364834785e-05
124,6.400002166628838e-05
125,5.5999960750341415e-05
126,5.6999968364834785e-05
127,7.79998954385519e-05
128,5.300017073750496e-05
129,6.400002166628838e-05
130,6.0999998822808266e-05
131,5.3999945521354675e-05
132,6.200000643730164e-05
133,5.9999991208314896e-05
134,6.0999998822808266e-05
135,5.9999991208314896e-05
136,6.0999998822808266e-05
137,6.400002166628838e-05
138,6.600003689527512e-05
139,6.79998192936182e-05
140,6.0999998822808266e-05
141,5.4999953135848045e-05
142,5.5999960750341415e-05
143,6.700004450976849e-05
144,7.699988782405853e-05
145,5.2999937906861305e-05
146,5.6999968364834785e-05
